Naked,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alva Helm,4.4,3.6,4.4,4,3.4,4,3.4,3.8,28,18,19,12,3.7,4.2
Archdeacon White Crown,1.6,2.7,1.9,1.9,5,4.6,5,5.4,11,19,19,38,1.6,1.8
Aristocrat's Mask,6,2.7,5.8,5.5,4.1,4.3,2.5,3.9,25,17,17,28,6.8,5.7
Assassin Hood,1.9,2.7,1.9,2.2,3.3,4.3,3.3,2.5,17,27,20,20,1,1.8
Billed Mask,4,2.8,4.6,3.6,2.6,4.1,2,3.7,24,16,14,18,2.2,3.7
Black Hand Hat,2.6,2.1,3.8,2.9,4.2,4.4,3.3,2.7,19,30,21,25,1.1,2.5
Black Iron Helm,6.5,4.5,6.9,6.6,4.8,5.9,4.4,4.8,26,19,21,13,7.6,6.5
Black Knight Helm,5.3,4,4.8,4.6,3.4,4.6,3.2,3.8,27,19,19,19,4.6,5.4
Black Witch Hat,1.9,1.1,1.1,1.4,4.9,4.8,4.8,5,6,17,12,30,0.2,1.8
Black Witch Veil,0.8,0.9,0.8,0.8,4.7,4.5,4.6,4.9,4,14,8,44,0,1.4
Blindfold Mask,1,0.9,0.8,0.9,3.6,2.8,4.4,0,6,15,10,32,0,1.1
Brass Helm,4.7,3.7,4.7,4.1,4.7,3.4,2.3,3.4,27,15,17,13,3.1,4.7
Brigand Hood,3.5,3.2,3.5,3.5,2.7,3,3.3,2.7,19,29,28,19,1.4,2.7
Catarina Helm,6.8,5,6.8,6.3,4.5,4.9,5.7,5.1,34,27,27,17,8.6,7.3
Cathedral Knight Helm,6,6.1,5.2,6.4,4.9,4.4,4.7,4.1,28,26,26,20,7.8,7.2
Chain Helm,3.8,2.2,4.6,3.4,2.6,2,1.1,2.9,28,15,15,11,1.9,3.9
Cleric Hat,1.9,1.4,1.4,1.6,5,3.8,4.9,5,18,25,12,29,0.5,1.4
Conjurator Hood,1.5,1.5,1.5,1.3,4.4,5.1,5,4.6,13,27,19,26,0.6,1.8
Court Sorcerer Hood,0.9,1.1,0.9,1.1,4.1,3.7,4.5,4.4,14,21,15,33,0.1,1.5
Creighton's Steel Mask,4.5,3.9,6,4.1,3.9,4.2,2.5,4.1,26,19,19,12,6.6,5.7
Crown of Dusk,0.8,0,0.2,0,0,4,3,3.2,5,12,8,33,0,1
Dancer's Crown,3.3,1.8,4.4,4,2.7,2.2,2.5,2.8,14,10,23,7,1.5,2.8
Dark Mask,4.3,3.1,3.9,3.7,3.1,2.5,1.3,3.1,18,14,15,7,2.7,4
Desert Pyromancer Hood,1.9,0.8,1.2,1.2,3.6,4.5,4.2,4.7,10,30,13,31,0.3,1.2
Dragonslayer Helm,5,4,5.5,5.5,3.7,4.1,4.1,2.9,28,18,18,16,5.5,5.6
Drakeblood Helm,5.2,5.1,6.2,5,4.8,4.6,4.2,4.2,34,19,21,15,5.7,6.1
Eastern Helm,4.1,2.5,5.6,3.7,1.6,3.4,1.2,1.6,32,12,15,9,3.3,3.9
Elite Knight Helm,4.9,3.9,4.9,4.5,3.9,4.2,3.3,3.7,24,15,15,9,4.7,5.2
Evangelist Hat,3.5,4.3,3.2,2.9,4.1,4.6,4.6,2.9,15,27,24,25,2.1,3.5
Executioner Helm,6.7,4.4,6.7,6.1,4.9,5,4,4.7,31,28,29,21,7.5,6.8
Exile Mask,6.5,6.3,7,5.9,4.4,5,3.6,4.5,39,29,24,19,8.7,7.1
Fallen Knight Helm,4.6,4.5,3.6,4,3.1,4.2,3.5,2.6,21,14,19,12,3.5,4.6
Faraam Helm,5.6,5.5,5.6,5.1,4.2,4.4,4.3,4.3,27,22,28,14,7,6.3
Fire Witch Helm,4.7,2.3,3.7,3.7,4.1,4.5,2.8,3.9,18,13,15,11,3,3.9
Firelink Helm,4.8,2.5,4.8,4.4,2.6,4.4,1.8,1.4,20,12,16,8,4.2,4.1
Follower Helm,4.2,4,4.4,4.6,3.4,3.1,2.5,2.8,21,14,21,10,3,3.7
Golden Crown,3.6,3,3,2.2,4.2,4.8,3.8,4.2,21,29,28,27,2.2,3.5
Grave Warden Hood,1.5,1.2,2.9,1.8,3.3,3.3,4,1.4,30,28,8,25,0.5,1.5
Gundyr's Helm,5.9,4.8,7,5.6,4.4,4.6,4.4,4.4,35,25,25,25,8.3,7.2
Havel's Helm,6.7,6.1,6.7,6.3,5,5.8,4.6,5,31,30,30,26,10.2,10.8
Helm of Favor,4.5,4.1,4.5,4.7,3.7,3.9,2.8,3.9,30,23,25,18,6,5.7
Helm of Thorns,3.7,2.6,4.9,3.9,2.3,2.3,2.3,1.8,30,13,15,11,2.2,3.8
Herald Helm,4.2,2.5,4.4,4,3.5,3.2,1.6,3.2,24,14,17,10,3.4,3.7
Hood of Prayer,0.8,0.8,0.8,0.8,3.9,3.5,3.7,4.4,8,28,13,40,0.2,1.3
Iron Dragonslayer Helm,6.1,4.5,6.4,6.6,3.9,4.5,5.3,5.1,33,22,24,11,7,6.3
Iron Helm,4.9,5.5,4.7,4.7,4.8,4.8,4.7,4.8,17,17,17,15,6.6,5.8
Karla's Pointed Hat,1.6,1.4,1.4,1.2,5,4.7,4.9,4.9,9,15,13,23,0.4,1.7
Knight Helm,5.3,4.2,5.3,4.8,3,4,2.7,3.2,22,17,18,12,4.6,5.1
Lapp's Helm,6.8,5.8,6.8,6.8,4.6,4.7,4.2,4.6,31,25,22,15,7.3,6.5
Lorian's Helm,5.4,3.5,5.4,3.8,4.8,3.6,3.6,4.8,24,12,17,15,4.6,5.5
Lothric Knight Helm,5.2,4,6.3,5,4.2,4.7,3.1,3.8,31,18,22,14,6.3,5.8
Lucatiel's Mask,3.9,3.6,3,2.8,4,3.8,4.8,3.8,22,26,22,24,1.6,3.3
Maiden Hood,1,1.2,1,0.9,4.6,4.3,4.4,4.6,8,16,12,31,0,1.4
Millwood Knight Helm,6.7,5,6.3,5.5,4.6,4.5,4.6,4.5,29,26,30,16,6.9,6.7
Morne's Helm,6.8,5.8,6.8,6.8,5.5,5.4,5.2,4,31,17,27,17,8,7.7
Nameless Knight Helm,3.8,3.1,4.2,3.6,2.1,3.4,2.4,2.1,26,15,14,10,2.3,3.8
Northern Helm,4.8,4.7,4.6,4.4,2.9,4.2,1.8,2.6,24,15,26,10,4,4.8
Old Sage's Blindfold,0.8,0.8,0.8,0.8,4,4.4,3.8,4.2,10,14,11,28,0,1
